date,BTC,LTC,XRP,ETH,BCN,sp500_close,change%,silver_close,silver_rate%,gold_close,gold_rate%
2017-06-22,2705.409912,47.712898,0.297848,336.371002,0.002563,2434.5,-0.119,16.573,-0.00802059,1249.4,-0.005571474
2017-06-21,2689.100098,47.787498,0.296366,336.872009,0.002536,2435.610107,-0.152,16.374,-0.012007482,1245.8,-0.002881383
2017-06-20,2721.790039,47.2164,0.324427,359.005005,0.002824,2437.030029,-0.556,16.417,0.002626115,1243.5,-0.001846203
2017-06-19,2589.600098,50.3209,0.296068,370.056,0.002634,2453.459961,0.447,16.502,0.00517756,1246.7,0.002573382
2017-06-16,2518.560059,35.7005,0.262068,370.22699,0.002648,2433.149902,0.079,16.661,0.009635196,1256.5,0.007860752
2017-06-15,2464.580078,30.2201,0.259266,361.933014,0.002343,2432.459961,0.343,16.716,0.003301122,1254.6,-0.001512137
2017-06-14,2506.370117,30.224701,0.278447,359.053009,0.002494,2437.919922,-0.239,17.136,0.025125628,1275.9,0.016977523
2017-06-13,2717.02002,30.6429,0.266153,397.536987,0.003198,2440.350098,0.255,16.767,-0.021533613,1268.6,-0.005721452
2017-06-12,2659.629883,29.5035,0.253964,401.48999,0.002935,2429.389893,0.145,16.944,0.01055645,1268.9,0.000236481
2017-06-09,2823.810059,29.681601,0.286019,281.737,0.002785,2431.77002,-0.19,17.223,0.016466006,1271.4,0.00197021
2017-06-08,2805.620117,30.211901,0.289678,261.665985,0.00357,2433.790039,-0.02,17.414,0.011089822,1279.5,0.00637093
2017-06-07,2732.159912,28.394699,0.279783,258.071014,0.003397,2433.139893,0.046,17.62,0.011829562,1293.2,0.010707308
2017-06-06,2863.199951,30.551001,0.284548,264.466003,0.002884,2429.330078,-0.106,17.71,0.005107832,1297.5,0.003325085
2017-06-05,2686.810059,30.8433,0.294003,248.464005,0.002799,2436.100098,-0.071,17.581,-0.00728402,1282.7,-0.011406551
2017-06-02,2488.550049,28.9447,0.303448,223.774994,0.003683,2439.070068,0.32,17.525,-0.003185257,1280.2,-0.001949014
2017-06-01,2407.879883,28.8034,0.333657,222.238998,0.001983,2430.060059,0.597,17.281,-0.013922967,1270.1,-0.007889392
2017-05-31,2286.409912,25.2976,0.24659,230.669006,0.002177,2411.800049,-0.159,17.406,0.007233378,1275.4,0.0041729
2017-05-30,2175.469971,24.142,0.205324,231.910995,0.002179,2412.909912,0.051,17.427,0.001206481,1265.7,-0.007605457
2017-05-26,2202.419922,23.748301,0.271808,160.403,0.002176,2415.820068,0.055,17.323,-0.005967751,1271.4,0.004503437
2017-05-25,2304.97998,29.9002,0.246065,174.445999,0.002447,2415.070068,0.23,17.193,-0.007504474,1259.8,-0.009123801
2017-05-24,2443.639893,34.4534,0.29589,190.046005,0.002513,2404.389893,0.124,17.117,-0.004420404,1253.1,-0.005318304
2017-05-23,2320.419922,32.112099,0.323368,181.951996,0.003803,2398.419922,0.058,17.139,0.001285272,1255.5,0.00191525
2017-05-22,2173.399902,25.381001,0.317954,174.261002,0.003567,2394.02002,0.285,17.191,0.003034016,1261.4,0.004699323
2017-05-19,1987.709961,27.6975,0.327801,129.526993,0.001346,2381.72998,0.437,16.796,-0.022977139,1253.6,-0.006183606
2017-05-18,1888.650024,28.357599,0.364869,96.906303,0.001652,2365.719971,0.468,16.67,-0.007501786,1252.8,-0.000638162
2017-05-17,1839.089966,25.4044,0.394132,89.860397,0.001839,2357.030029,-1.088,16.906,0.014157169,1258.7,0.004709451
2017-05-16,1734.449951,23.3277,0.349861,89.438004,0.000799,2400.669922,-0.161,16.747,-0.009404945,1236.4,-0.017716692
2017-05-15,1738.430054,25.365299,0.27072,92.414902,0.000466,2402.320068,0.348,16.603,-0.008598555,1230,-0.005176318
2017-05-12,1724.23999,27.454901,0.206068,88.655403,0.000476,2390.899902,-0.064,16.402,-0.012106246,1227.7,-0.001869919
2017-05-11,1848.569946,30.717699,0.183135,89.8797,0.000475,2394.439941,-0.017,16.265,-0.00835264,1224.2,-0.002850859
2017-05-10,1787.130005,31.962099,0.186066,89.524902,0.000527,2399.629883,0.118,16.207,-0.003565939,1218.9,-0.004329358
2017-05-09,1755.359985,33.583,0.160074,91.162903,0.000456,2396.919922,-0.194,16.067,-0.008638243,1216.1,-0.002297153
2017-05-08,1723.349976,28.9582,0.198212,91.420403,0.000568,2399.379883,-0.023,16.258,0.01188772,1227.1,0.009045309
2017-05-05,1555.449951,26.266899,0.093551,94.398499,0.000233,2399.290039,0.289,16.274,0.000984131,1226.9,-0.000162986
2017-05-04,1537.670044,23.3936,0.078914,96.9814,0.00023,2389.52002,-0.011,16.303,0.001781984,1228.6,0.001385606
2017-05-03,1490.089966,21.042601,0.06049,79.718201,0.000224,2388.129883,0.068,16.546,0.014905232,1248.5,0.016197298
2017-05-02,1452.819946,15.895,0.053908,77.263802,0.000218,2391.169922,0.005,16.831,0.017224707,1257,0.00680817
2017-05-01,1421.599976,15.9177,0.055115,76.296997,0.000227,2388.330078,-0.007,16.842,0.000653556,1255.5,-0.001193317
2017-04-28,1316.47998,14.3415,0.044475,70.159203,0.000184,2384.199951,-0.396,17.262,0.024937656,1268.3,0.010195141
